4.26,1.26,2.5,2.26,4.99,4.03,4.28,4.25,5.22,4.53
1.26,2.5,2.26,4.99,4.03,4.28,4.25,5.22,4.53,6.25
2.5,2.26,4.99,4.03,4.28,4.25,5.22,4.53,6.25,8.08
2.26,4.99,4.03,4.28,4.25,5.22,4.53,6.25,8.08,3.99
4.99,4.03,4.28,4.25,5.22,4.53,6.25,8.08,3.99,5.04
4.03,4.28,4.25,5.22,4.53,6.25,8.08,3.99,5.04,27.96
4.28,4.25,5.22,4.53,6.25,8.08,3.99,5.04,27.96,26.72
4.25,5.22,4.53,6.25,8.08,3.99,5.04,27.96,26.72,27.32
5.22,4.53,6.25,8.08,3.99,5.04,27.96,26.72,27.32,26.52
4.53,6.25,8.08,3.99,5.04,27.96,26.72,27.32,26.52,27.2
6.25,8.08,3.99,5.04,27.96,26.72,27.32,26.52,27.2,26.77
8.08,3.99,5.04,27.96,26.72,27.32,26.52,27.2,26.77,27.82
3.99,5.04,27.96,26.72,27.32,26.52,27.2,26.77,27.82,29.55
5.04,27.96,26.72,27.32,26.52,27.2,26.77,27.82,29.55,28.43
27.96,26.72,27.32,26.52,27.2,26.77,27.82,29.55,28.43,28.32
26.72,27.32,26.52,27.2,26.77,27.82,29.55,28.43,28.32,29.11
27.32,26.52,27.2,26.77,27.82,29.55,28.43,28.32,29.11,28.07
26.52,27.2,26.77,27.82,29.55,28.43,28.32,29.11,28.07,44.16
27.2,26.77,27.82,29.55,28.43,28.32,29.11,28.07,44.16,32.4
26.77,27.82,29.55,28.43,28.32,29.11,28.07,44.16,32.4,40.71
27.82,29.55,28.43,28.32,29.11,28.07,44.16,32.4,40.71,41.62
29.55,28.43,28.32,29.11,28.07,44.16,32.4,40.71,41.62,32.4
28.43,28.32,29.11,28.07,44.16,32.4,40.71,41.62,32.4,45.73
28.32,29.11,28.07,44.16,32.4,40.71,41.62,32.4,45.73,47.84
29.11,28.07,44.16,32.4,40.71,41.62,32.4,45.73,47.84,41.56
28.07,44.16,32.4,40.71,41.62,32.4,45.73,47.84,41.56,44.3
44.16,32.4,40.71,41.62,32.4,45.73,47.84,41.56,44.3,57.99
32.4,40.71,41.62,32.4,45.73,47.84,41.56,44.3,57.99,75.51
40.71,41.62,32.4,45.73,47.84,41.56,44.3,57.99,75.51,79.03
41.62,32.4,45.73,47.84,41.56,44.3,57.99,75.51,79.03,87.56
32.4,45.73,47.84,41.56,44.3,57.99,75.51,79.03,87.56,89.87
45.73,47.84,41.56,44.3,57.99,75.51,79.03,87.56,89.87,72.75
47.84,41.56,44.3,57.99,75.51,79.03,87.56,89.87,72.75,85.39
41.56,44.3,57.99,75.51,79.03,87.56,89.87,72.75,85.39,93.8
44.3,57.99,75.51,79.03,87.56,89.87,72.75,85.39,93.8,87.69
57.99,75.51,79.03,87.56,89.87,72.75,85.39,93.8,87.69,97.94
75.51,79.03,87.56,89.87,72.75,85.39,93.8,87.69,97.94,88.78
